"id","code","name","type","parent_id:id","reconcile","user_type:id"
"ni_puc_root",0,"NI PUC ROOT","view",,"FALSE","account.data_account_type_view"
"ni_puc_1",1,"ACTIVOS","view","ni_puc_root","FALSE","account.data_account_type_asset"
"ni_puc_11",11,"ACTIVOS CIRCULANTES","view","ni_puc_1","FALSE","account.data_account_type_asset"
"ni_puc_1101",1101,"CAJA","view","ni_puc_11","FALSE","account.data_account_type_cash"
"ni_puc_110101",110101,"Caja General","liquidity","ni_puc_1101","FALSE","account.data_account_type_cash"
"ni_puc_110102",110102,"Caja Chica Principal","liquidity","ni_puc_1101","FALSE","account.data_account_type_cash"
"ni_puc_110103",110103,"Caja Chica Mensajer铆a","liquidity","ni_puc_1101","FALSE","account.data_account_type_cash"
"ni_puc_1102",1102,"BANCOS","view","ni_puc_11","FALSE","account.data_account_type_bank"
"ni_puc_1103",1103,"CUENTAS POR COBRAR","view","ni_puc_11","FALSE","account.data_account_type_receivable"
"ni_puc_110301",110301,"Clientes locales","receivable","ni_puc_1103","TRUE","account.data_account_type_receivable"
"ni_puc_110302",110302,"Clientes del exterior","receivable","ni_puc_1103","TRUE","account.data_account_type_receivable"
"ni_puc_110303",110303,"Anticipos Clientes","other","ni_puc_1103","FALSE","account.data_account_type_receivable"
"ni_puc_1104",1104,"OTRAS CUENTAS POR COBRAR","view","ni_puc_11","FALSE","account.data_account_type_asset"
"ni_puc_110401",110401,"Empleados","other","ni_puc_1104","FALSE","account.data_account_type_asset"
"ni_puc_110402",110402,"Socios","other","ni_puc_1104","FALSE","account.data_account_type_asset"
"ni_puc_1105",1105,"IMPUESTOS POR COBRAR","view","ni_puc_11","FALSE","account.data_account_type_asset"
"ni_puc_110501",110501,"IVA Cr茅dito Fiscal","other","ni_puc_1105","FALSE","account.data_account_type_asset"
"ni_puc_110502",110502,"IVA Importaciones","other","ni_puc_1105","FALSE","account.data_account_type_asset"
"ni_puc_110503",110503,"IVA Ventas Nacionales","other","ni_puc_1105","FALSE","account.data_account_type_asset"
"ni_puc_110504",110504,"Anticipo IR","other","ni_puc_1105","FALSE","account.data_account_type_asset"
"ni_puc_110505",110505,"Retenciones de Clientes","other","ni_puc_1105","FALSE","account.data_account_type_asset"
"ni_puc_1106",1106,"COSTOS Y GASTOS PAGADOS POR ANTICIPADO","view","ni_puc_11","FALSE","account.data_account_type_asset"
"ni_puc_110601",110601,"Adecuaciones Locativas Diferidas","other","ni_puc_1106","FALSE","account.data_account_type_asset"
"ni_puc_110602",110602,"Software","other","ni_puc_1106","FALSE","account.data_account_type_asset"
"ni_puc_110603",110603,"Papeler铆a Preimpresa","other","ni_puc_1106","FALSE","account.data_account_type_asset"
"ni_puc_110604",110604,"Seguros Anuales","other","ni_puc_1106","FALSE","account.data_account_type_asset"
"ni_puc_1107",1107,"INVENTARIOS","view","ni_puc_11","FALSE","l10n_ni.account_type_stock"
"ni_puc_110701",110701,"Bodega 1. Principal","other","ni_puc_1107","FALSE","l10n_ni.account_type_stock"
"ni_puc_110702",110702,"Bodega 2. Aduana","other","ni_puc_1107","FALSE","l10n_ni.account_type_stock"
"ni_puc_110703",110703,"Bodega 3. Mercanc铆as en Tr谩nsito","other","ni_puc_1107","FALSE","l10n_ni.account_type_stock"
